frame,n_detections,track_id,x,y,vx,vy,label,hits,frames_missing,confirmed,total_fibers_so_far,total_amorphous_so_far
0,1,1,155.0,158.0,0.0,0.0,fiber,1,0,False,0,0
1,0,1,155.0,158.0,0.0,0.0,fiber,1,1,False,0,0
2,0,1,155.0,158.0,0.0,0.0,fiber,1,2,False,0,0
3,0,1,155.0,158.0,0.0,0.0,fiber,1,3,False,0,0
4,0,1,155.0,158.0,0.0,0.0,fiber,1,4,False,0,0
5,0,1,155.0,158.0,0.0,0.0,fiber,1,5,False,0,0
7,1,2,618.0,120.0,0.0,0.0,amorphous,1,0,False,0,0
8,1,2,613.0,115.0,-5.0,-5.0,amorphous,2,0,True,0,1
9,1,2,631.0,103.0,6.5,-8.5,amorphous,3,0,True,0,1
10,3,2,628.0,138.0,1.75,13.25,amorphous,4,0,True,0,1
10,3,3,568.0,106.0,0.0,0.0,amorphous,1,0,False,0,1
10,3,4,504.0,107.0,0.0,0.0,amorphous,1,0,False,0,1
11,3,2,626.0,247.0,-0.125,61.125,amorphous,5,0,True,0,3
11,3,3,544.0,143.0,-24.0,37.0,amorphous,2,0,True,0,3
11,3,4,414.0,109.0,-90.0,2.0,amorphous,2,0,True,0,3
12,3,2,619.0,247.0,-3.562,30.562,amorphous,6,0,True,0,3
12,3,3,505.0,149.0,-31.5,21.5,amorphous,3,0,True,0,3
12,3,4,360.0,114.0,-72.0,3.5,amorphous,3,0,True,0,3
13,3,2,628.0,247.0,2.719,15.281,amorphous,7,0,True,0,3
13,3,3,528.0,152.0,-4.25,12.25,amorphous,4,0,True,0,3
13,3,4,374.0,111.0,-29.0,0.25,amorphous,4,0,True,0,3
14,3,2,527.0,151.0,-49.141,-40.359,amorphous,8,0,True,0,3
14,3,3,392.0,109.0,-70.125,-15.375,amorphous,5,0,True,0,3
14,3,4,331.0,112.0,-36.0,0.625,amorphous,5,0,True,0,3
15,4,2,550.0,124.0,-13.07,-33.68,amorphous,9,0,True,0,3
15,4,3,351.0,149.0,-55.562,12.312,amorphous,6,0,True,0,3
15,4,4,174.0,121.0,-96.5,4.812,amorphous,6,0,True,0,3
15,4,5,539.0,235.0,0.0,0.0,fiber,1,0,False,0,3
16,4,2,428.0,120.0,-67.535,-18.84,amorphous,10,0,True,1,3
16,4,3,232.0,134.0,-87.281,-1.344,amorphous,7,0,True,1,3
16,4,4,56.0,142.0,-107.25,12.906,amorphous,7,0,True,1,3
16,4,5,438.0,237.0,-101.0,2.0,fiber,2,0,True,1,3
17,4,2,380.0,119.0,-57.768,-9.92,amorphous,11,0,True,1,3
17,4,3,172.0,132.0,-73.641,-1.672,amorphous,8,0,True,1,3
17,4,4,16.0,148.0,-73.625,9.453,amorphous,8,0,True,1,3
17,4,5,393.0,239.0,-73.0,2.0,fiber,3,0,True,1,3
18,4,2,414.0,111.0,-11.884,-8.96,amorphous,12,0,True,1,3
18,4,3,207.0,125.0,-19.32,-4.336,amorphous,9,0,True,1,3
18,4,4,46.0,142.0,-21.812,1.727,amorphous,9,0,True,1,3
18,4,5,433.0,238.0,-16.5,0.5,fiber,4,0,True,1,3
19,5,2,359.0,111.0,-33.442,-4.48,amorphous,13,0,True,1,3
19,5,3,269.0,101.0,21.34,-14.168,amorphous,10,0,True,1,3
19,5,4,14.0,144.0,-26.906,1.863,amorphous,10,0,True,1,3
19,5,5,352.0,231.0,-48.75,-3.25,fiber,5,0,True,1,3
19,5,6,72.0,122.0,0.0,0.0,amorphous,1,0,False,1,3
20,3,2,325.56,106.52,-33.442,-4.48,amorphous,13,1,True,1,3
20,3,3,183.0,100.0,-32.33,-7.584,amorphous,11,0,True,1,3
20,3,4,15.0,119.0,-12.953,-11.568,amorphous,11,0,True,1,3
20,3,5,254.0,228.0,-73.375,-3.125,fiber,6,0,True,1,3
20,3,6,72.0,122.0,0.0,0.0,amorphous,1,1,False,1,3
21,2,2,292.12,102.04,-33.442,-4.48,amorphous,13,2,True,0,4
21,2,3,118.0,100.0,-48.665,-3.792,amorphous,12,0,True,0,4
21,2,4,2.05,107.43,-12.953,-11.568,amorphous,11,1,True,0,4
21,2,5,199.0,226.0,-64.188,-2.562,amorphous,7,0,True,0,4
21,2,6,72.0,122.0,0.0,0.0,amorphous,1,2,False,0,4
22,2,2,258.67,97.56,-33.442,-4.48,amorphous,13,3,True,0,4
22,2,3,124.0,98.0,-21.333,-2.896,amorphous,13,0,True,0,4
22,2,4,-10.91,95.86,-12.953,-11.568,amorphous,11,2,True,0,4
